10241 1
1 1
12 22 10241
23 43 10241
44 84 10241
85 165 10241
166 326 10241
327 647 10241
648 1288 10241
1289 2569 10241
2570 5130 10241
5121 10241 10241
10241 10241 2
33 53 10241
54 94 10241
95 175 10241
176 336 10241
337 657 10241
658 1298 10241
1299 2579 10241
2580 5140 10241
5131 10241 10241
32 10241 10241
10241 10241 3
64 104 10241
105 185 10241
186 346 10241
347 667 10241
668 1308 10241
1309 2589 10241
2590 5150 10241
5141 10241 10241
10241 10241 22
10241 10241 13
74 114 10241
115 195 10241
196 356 10241
357 677 10241
678 1318 10241
1319 2599 10241
2600 5160 10241
5151 10241 10241
52 62 10241
63 10241 10241
10241 10241 4
125 205 10241
206 366 10241
367 687 10241
688 1328 10241
1329 2609 10241
2610 5170 10241
5161 10241 10241
10241 10241 42
73 10241 10241
10241 10241 14
135 215 10241
216 376 10241
377 697 10241
698 1338 10241
1339 2619 10241
2620 5180 10241
5171 10241 10241
72 10241 10241
10241 10241 43
10241 10241 24
145 225 10241
226 386 10241
387 707 10241
708 1348 10241
1349 2629 10241
2630 5190 10241
5181 10241 10241
10241 10241 62
10241 10241 53
10241 10241 34
155 235 10241
236 396 10241
397 717 10241
718 1358 10241
1359 2639 10241
2640 5200 10241
5191 10241 10241
92 102 10241
103 123 10241
124 10241 10241
10241 10241 5
246 406 10241
407 727 10241
728 1368 10241
1369 2649 10241
2650 5210 10241
5201 10241 10241
10241 10241 82
113 133 10241
134 10241 10241
10241 10241 15
256 416 10241
417 737 10241
738 1378 10241
1379 2659 10241
2660 5220 10241
5211 10241 10241
112 10241 10241
10241 10241 83
144 10241 10241
10241 10241 25
266 426 10241
427 747 10241
748 1388 10241
1389 2669 10241
2670 5230 10241
5221 10241 10241
10241 10241 102
10241 10241 93
154 10241 10241
10241 10241 35
276 436 10241
437 757 10241
758 1398 10241
1399 2679 10241
2680 5240 10241
5231 10241 10241
132 142 10241
143 10241 10241
10241 10241 84
10241 10241 45
286 446 10241
447 767 10241
768 1408 10241
1409 2689 10241
2690 5250 10241
5241 10241 10241
10241 10241 122
153 10241 10241
10241 10241 94
10241 10241 55
296 456 10241
457 777 10241
778 1418 10241
1419 2699 10241
2700 5260 10241
5251 10241 10241
152 10241 10241
10241 10241 123
10241 10241 104
10241 10241 65
306 466 10241
467 787 10241
788 1428 10241
1429 2709 10241
2710 5270 10241
5261 10241 10241
10241 10241 142
10241 10241 133
10241 10241 114
10241 10241 75
316 476 10241
477 797 10241
798 1438 10241
1439 2719 10241
2720 5280 10241
5271 10241 10241
172 182 10241
183 203 10241
204 244 10241
245 10241 10241
10241 10241 6
487 807 10241
808 1448 10241
1449 2729 10241
2730 5290 10241
5281 10241 10241
10241 10241 162
193 213 10241
214 254 10241
255 10241 10241
10241 10241 16
497 817 10241
818 1458 10241
1459 2739 10241
2740 5300 10241
5291 10241 10241
192 10241 10241
10241 10241 163
224 264 10241
265 10241 10241
10241 10241 26
507 827 10241
828 1468 10241
1469 2749 10241
2750 5310 10241
5301 10241 10241
10241 10241 182
10241 10241 173
234 274 10241
275 10241 10241
10241 10241 36
517 837 10241
838 1478 10241
1479 2759 10241
2760 5320 10241
5311 10241 10241
212 222 10241
223 10241 10241
10241 10241 164
285 10241 10241
10241 10241 46
527 847 10241
848 1488 10241
1489 2769 10241
2770 5330 10241
5321 10241 10241
10241 10241 202
233 10241 10241
10241 10241 174
295 10241 10241
10241 10241 56
537 857 10241
858 1498 10241
1499 2779 10241
2780 5340 10241
5331 10241 10241
232 10241 10241
10241 10241 203
10241 10241 184
305 10241 10241
10241 10241 66
547 867 10241
868 1508 10241
1509 2789 10241
2790 5350 10241
5341 10241 10241
10241 10241 222
10241 10241 213
10241 10241 194
315 10241 10241
10241 10241 76
557 877 10241
878 1518 10241
1519 2799 10241
2800 5360 10241
5351 10241 10241
252 262 10241
263 283 10241
284 10241 10241
10241 10241 165
10241 10241 86
567 887 10241
888 1528 10241
1529 2809 10241
2810 5370 10241
5361 10241 10241
10241 10241 242
273 293 10241
294 10241 10241
10241 10241 175
10241 10241 96
577 897 10241
898 1538 10241
1539 2819 10241
2820 5380 10241
5371 10241 10241
272 10241 10241
10241 10241 243
304 10241 10241
10241 10241 185
10241 10241 106
587 907 10241
908 1548 10241
1549 2829 10241
2830 5390 10241
5381 10241 10241
10241 10241 262
10241 10241 253
314 10241 10241
10241 10241 195
10241 10241 116
597 917 10241
918 1558 10241
1559 2839 10241
2840 5400 10241
5391 10241 10241
292 302 10241
303 10241 10241
10241 10241 244
10241 10241 205
10241 10241 126
607 927 10241
928 1568 10241
1569 2849 10241
2850 5410 10241
5401 10241 10241
10241 10241 282
313 10241 10241
10241 10241 254
10241 10241 215
10241 10241 136
617 937 10241
938 1578 10241
1579 2859 10241
2860 5420 10241
5411 10241 10241
312 10241 10241
10241 10241 283
10241 10241 264
10241 10241 225
10241 10241 146
627 947 10241
948 1588 10241
1589 2869 10241
2870 5430 10241
5421 10241 10241
10241 10241 302
10241 10241 293
10241 10241 274
10241 10241 235
10241 10241 156
637 957 10241
958 1598 10241
1599 2879 10241
2880 5440 10241
5431 10241 10241
332 342 10241
343 363 10241
364 404 10241
405 485 10241
486 10241 10241
10241 10241 7
968 1608 10241
1609 2889 10241
2890 5450 10241
5441 10241 10241
10241 10241 322
353 373 10241
374 414 10241
415 495 10241
496 10241 10241
10241 10241 17
978 1618 10241
1619 2899 10241
2900 5460 10241
5451 10241 10241
352 10241 10241
10241 10241 323
384 424 10241
425 505 10241
506 10241 10241
10241 10241 27
988 1628 10241
1629 2909 10241
2910 5470 10241
5461 10241 10241
10241 10241 342
10241 10241 333
394 434 10241
435 515 10241
516 10241 10241
10241 10241 37
998 1638 10241
1639 2919 10241
2920 5480 10241
5471 10241 10241
372 382 10241
383 10241 10241
10241 10241 324
445 525 10241
526 10241 10241
10241 10241 47
1008 1648 10241
1649 2929 10241
2930 5490 10241
5481 10241 10241
10241 10241 362
393 10241 10241
10241 10241 334
455 535 10241
536 10241 10241
10241 10241 57
1018 1658 10241
1659 2939 10241
2940 5500 10241
5491 10241 10241
392 10241 10241
10241 10241 363
10241 10241 344
465 545 10241
546 10241 10241
10241 10241 67
1028 1668 10241
1669 2949 10241
2950 5510 10241
5501 10241 10241
10241 10241 382
10241 10241 373
10241 10241 354
475 555 10241
556 10241 10241
10241 10241 77
1038 1678 10241
1679 2959 10241
2960 5520 10241
5511 10241 10241
412 422 10241
423 443 10241
444 10241 10241
10241 10241 325
566 10241 10241
10241 10241 87
1048 1688 10241
1689 2969 10241
2970 5530 10241
5521 10241 10241
10241 10241 402
433 453 10241
454 10241 10241
10241 10241 335
576 10241 10241
10241 10241 97
1058 1698 10241
1699 2979 10241
2980 5540 10241
5531 10241 10241
432 10241 10241
10241 10241 403
464 10241 10241
10241 10241 345
586 10241 10241
10241 10241 107
1068 1708 10241
1709 2989 10241
2990 5550 10241
5541 10241 10241
10241 10241 422
10241 10241 413
474 10241 10241
10241 10241 355
596 10241 10241
10241 10241 117
1078 1718 10241
1719 2999 10241
3000 5560 10241
5551 10241 10241
452 462 10241
463 10241 10241
10241 10241 404
10241 10241 365
606 10241 10241
10241 10241 127
1088 1728 10241
1729 3009 10241
3010 5570 10241
5561 10241 10241
10241 10241 442
473 10241 10241
10241 10241 414
10241 10241 375
616 10241 10241
10241 10241 137
1098 1738 10241
1739 3019 10241
3020 5580 10241
5571 10241 10241
472 10241 10241
10241 10241 443
10241 10241 424
10241 10241 385
626 10241 10241
10241 10241 147
1108 1748 10241
1749 3029 10241
3030 5590 10241
5581 10241 10241
10241 10241 462
10241 10241 453
10241 10241 434
10241 10241 395
636 10241 10241
10241 10241 157
1118 1758 10241
1759 3039 10241
3040 5600 10241
5591 10241 10241
492 502 10241
503 523 10241
524 564 10241
565 10241 10241
10241 10241 326
10241 10241 167
1128 1768 10241
1769 3049 10241
3050 5610 10241
5601 10241 10241
10241 10241 482
513 533 10241
534 574 10241
575 10241 10241
10241 10241 336
10241 10241 177
1138 1778 10241
1779 3059 10241
3060 5620 10241
5611 10241 10241
512 10241 10241
10241 10241 483
544 584 10241
585 10241 10241
10241 10241 346
10241 10241 187
1148 1788 10241
1789 3069 10241
3070 5630 10241
5621 10241 10241
10241 10241 502
10241 10241 493
554 594 10241
595 10241 10241
10241 10241 356
10241 10241 197
1158 1798 10241
1799 3079 10241
3080 5640 10241
5631 10241 10241
532 542 10241
543 10241 10241
10241 10241 484
605 10241 10241
10241 10241 366
10241 10241 207
1168 1808 10241
1809 3089 10241
3090 5650 10241
5641 10241 10241
10241 10241 522
553 10241 10241
10241 10241 494
615 10241 10241
10241 10241 376
10241 10241 217
1178 1818 10241
1819 3099 10241
3100 5660 10241
5651 10241 10241
552 10241 10241
10241 10241 523
10241 10241 504
625 10241 10241
10241 10241 386
10241 10241 227
1188 1828 10241
1829 3109 10241
3110 5670 10241
5661 10241 10241
10241 10241 542
10241 10241 533
10241 10241 514
635 10241 10241
10241 10241 396
10241 10241 237
1198 1838 10241
1839 3119 10241
3120 5680 10241
5671 10241 10241
572 582 10241
583 603 10241
604 10241 10241
10241 10241 485
10241 10241 406
10241 10241 247
1208 1848 10241
1849 3129 10241
3130 5690 10241
5681 10241 10241
10241 10241 562
593 613 10241
614 10241 10241
10241 10241 495
10241 10241 416
10241 10241 257
1218 1858 10241
1859 3139 10241
3140 5700 10241
5691 10241 10241
592 10241 10241
10241 10241 563
624 10241 10241
10241 10241 505
10241 10241 426
10241 10241 267
1228 1868 10241
1869 3149 10241
3150 5710 10241
5701 10241 10241
10241 10241 582
10241 10241 573
634 10241 10241
10241 10241 515
10241 10241 436
10241 10241 277
1238 1878 10241
1879 3159 10241
3160 5720 10241
5711 10241 10241
612 622 10241
623 10241 10241
10241 10241 564
10241 10241 525
10241 10241 446
10241 10241 287
1248 1888 10241
1889 3169 10241
3170 5730 10241
5721 10241 10241
10241 10241 602
633 10241 10241
10241 10241 574
10241 10241 535
10241 10241 456
10241 10241 297
1258 1898 10241
1899 3179 10241
3180 5740 10241
5731 10241 10241
632 10241 10241
10241 10241 603
10241 10241 584
10241 10241 545
10241 10241 466
10241 10241 307
1268 1908 10241
1909 3189 10241
3190 5750 10241
5741 10241 10241
10241 10241 622
10241 10241 613
10241 10241 594
10241 10241 555
10241 10241 476
10241 10241 317
1278 1918 10241
1919 3199 10241
3200 5760 10241
5751 10241 10241
652 662 10241
663 683 10241
684 724 10241
725 805 10241
806 966 10241
967 10241 10241
10241 10241 8
1929 3209 10241
3210 5770 10241
5761 10241 10241
10241 10241 642
673 693 10241
694 734 10241
735 815 10241
816 976 10241
977 10241 10241
10241 10241 18
1939 3219 10241
3220 5780 10241
5771 10241 10241
672 10241 10241
10241 10241 643
704 744 10241
745 825 10241
826 986 10241
987 10241 10241
10241 10241 28
1949 3229 10241
3230 5790 10241
5781 10241 10241
10241 10241 662
10241 10241 653
714 754 10241
755 835 10241
836 996 10241
997 10241 10241
10241 10241 38
1959 3239 10241
3240 5800 10241
5791 10241 10241
692 702 10241
703 10241 10241
10241 10241 644
765 845 10241
846 1006 10241
1007 10241 10241
10241 10241 48
1969 3249 10241
3250 5810 10241
5801 10241 10241
10241 10241 682
713 10241 10241
10241 10241 654
775 855 10241
856 1016 10241
1017 10241 10241
10241 10241 58
1979 3259 10241
3260 5820 10241
5811 10241 10241
712 10241 10241
10241 10241 683
10241 10241 664
785 865 10241
866 1026 10241
1027 10241 10241
10241 10241 68
1989 3269 10241
3270 5830 10241
5821 10241 10241
10241 10241 702
10241 10241 693
10241 10241 674
795 875 10241
876 1036 10241
1037 10241 10241
10241 10241 78
1999 3279 10241
3280 5840 10241
5831 10241 10241
732 742 10241
743 763 10241
764 10241 10241
10241 10241 645
886 1046 10241
1047 10241 10241
10241 10241 88
2009 3289 10241
3290 5850 10241
5841 10241 10241
10241 10241 722
753 773 10241
774 10241 10241
10241 10241 655
896 1056 10241
1057 10241 10241
10241 10241 98
2019 3299 10241
3300 5860 10241
5851 10241 10241
752 10241 10241
10241 10241 723
784 10241 10241
10241 10241 665
906 1066 10241
1067 10241 10241
10241 10241 108
2029 3309 10241
3310 5870 10241
5861 10241 10241
10241 10241 742
10241 10241 733
794 10241 10241
10241 10241 675
916 1076 10241
1077 10241 10241
10241 10241 118
2039 3319 10241
3320 5880 10241
5871 10241 10241
772 782 10241
783 10241 10241
10241 10241 724
10241 10241 685
926 1086 10241
1087 10241 10241
10241 10241 128
